function,category,grado_optimo_mean,R2_poly_mean,R2_spline_mean,alcanza_tau_pct
linear,A_smooth_polynomial,1.0,-inf,0.9670339369702844,0.0
quadratic,A_smooth_polynomial,1.0,-inf,0.9679788844372901,0.0
cubic,A_smooth_polynomial,1.0,-inf,0.7341474740618054,0.0
quartic,A_smooth_polynomial,1.0,-inf,0.9869292173056771,0.0
poly_high,A_smooth_polynomial,1.0,-inf,0.9856296518524605,0.0
sine_simple,B_oscillatory,1.0,-inf,0.9775278535392266,0.0
sine_high_freq,B_oscillatory,1.0,-inf,0.9677186616285732,0.0
sine_modulated,B_oscillatory,1.0,-inf,0.8532211947249082,0.0
chirp,B_oscillatory,1.0,-inf,0.9661706629169379,0.0
sawtooth,B_oscillatory,1.0,-inf,0.9303699390378087,0.0
step,C_discontinuous,1.0,-inf,0.9424242442134768,0.0
abs_value,C_discontinuous,1.0,-inf,0.6209495607900526,0.0
piecewise_linear,C_discontinuous,1.0,-inf,0.8956147360052802,0.0
relu_like,C_discontinuous,1.0,-inf,0.4386762488320877,0.0
square_wave,C_discontinuous,1.0,-inf,0.9508660443937472,0.0
exponential,D_exponential_log,1.0,-inf,0.9962437976245385,0.0
log_func,D_exponential_log,1.0,-inf,0.9538232370254288,0.0
sigmoid,D_exponential_log,1.0,-inf,0.9293572289274485,0.0
gaussian_bump,D_exponential_log,1.0,-inf,0.9005185951992002,0.0
double_exp,D_exponential_log,1.0,-inf,0.9931351661830219,0.0
heteroscedastic_base,E_structured_noise,1.0,-inf,0.9763076375515742,0.0
outlier_base,E_structured_noise,1.0,-inf,0.7601720232997423,0.0
noisy_sine_base,E_structured_noise,1.0,-inf,0.9775278535392266,0.0
bimodal_base,E_structured_noise,1.0,-inf,0.8333979739981502,0.0
interaction_linear,F_interactions_2d,1.0,-inf,,0.0
interaction_nonlinear,F_interactions_2d,1.0,-inf,,0.0
xor_like,F_interactions_2d,1.0,-inf,,0.0
radial,F_interactions_2d,1.0,-inf,,0.0
near_poly_sine,G_trap_functions,1.0,-inf,0.8136762924259588,0.0
runge,G_trap_functions,1.0,-inf,0.8607801303714591,0.0
