function,regime,n_samples,pearson_r,pearson_p,spearman_r,spearman_p,kendall_r,kendall_p,consistent
linear,underfit,113,0.00932260529225172,0.9219315717938569,0.35878967329829003,9.52689934943483e-05,0.2601137800252844,4.4220223119425456e-05,True
linear,well_fit,224,0.06185266409250721,0.3568263300135091,0.03574845184710656,0.5945801294469664,0.02746636771300448,0.540646455578332,True
linear,overfit,113,0.0304071198846749,0.7491865439676444,0.17434626388981306,0.06476286654579205,0.12989886219974714,0.04138604207533718,True
quadratic,underfit,113,0.14291111450686436,0.13103395113167352,0.4713969658659925,1.3647692047691673e-07,0.3384955752212389,1.0667003586068967e-07,True
quadratic,well_fit,224,0.012949861799427975,0.8471629729944029,-0.0061990177236814015,0.9264912959674594,-0.003283151825752722,0.9416987843860066,False
quadratic,overfit,113,0.13067076522126977,0.16773212597915035,-0.005838711823807306,0.9510591436447768,0.0018963337547408341,0.9762458679291999,False
cubic,underfit,113,0.03744894369843567,0.6937289102596601,0.2328165546609888,0.013080976823061356,0.165929203539823,0.009177200683334944,True
cubic,well_fit,224,-0.0022702402495947812,0.9730463718635585,0.006472346786248132,0.9232598616475626,0.010169762972453554,0.820781642374047,False
cubic,overfit,113,0.08626731453430721,0.36359660634882013,-0.021192361434559857,0.8236926311334828,-0.0009481668773704171,0.988121617716638,False
sine,underfit,113,0.10245965600125982,0.2801884858171306,0.41735145385587863,4.248432205353571e-06,0.2853982300884956,7.420496159048287e-06,True
sine,well_fit,224,0.04649745038368659,0.4886916342580932,0.05284860132393766,0.43122893590471334,0.04780589365791159,0.2869142929535793,True
sine,overfit,113,-0.1273343651293819,0.1789448982580456,-0.34059984030873647,0.00022304408042643072,-0.22566371681415925,0.00039512463327647825,True
sine_high,underfit,113,0.2275146916131188,0.0153719081134807,0.18752911038658596,0.04670343298553921,0.10429835651074588,0.10149088910346311,True
sine_high,well_fit,224,-0.2178648087960387,0.0010308385093309904,-0.09949177877429001,0.1376998784977765,-0.07062780269058296,0.11565125668369676,True
sine_high,overfit,113,0.042471035276880405,0.655124067361055,0.2155915230554262,0.02182919360437249,0.1441213653603034,0.023638158248581904,True
exp,underfit,113,0.048004933830581124,0.61361723246938,0.3575337680484397,0.00010120077186673679,0.24778761061946902,9.995418573591149e-05,True
exp,well_fit,224,0.006125808077073108,0.9273570241634699,-0.08726777706598335,0.19316223526807194,-0.052930813581037794,0.23836751806122658,False
exp,overfit,113,0.01575332148329555,0.8684651051324606,-0.07666844101403954,0.4195950618405667,-0.048672566371681415,0.4447211077407889,False
step,underfit,113,0.12070281764902585,0.20284635314972427,0.29385687670503696,0.0015827807790231975,0.18836915297092285,0.003099151021856083,True
step,well_fit,224,-0.04462436087870437,0.5063890374873967,-0.0717734358317318,0.2848099477261751,-0.046925048046124275,0.2958872600249206,True
step,overfit,113,-0.011119362433702843,0.9069473667774093,-0.029193559119036535,0.7588839022047009,-0.017383059418457646,0.7848957012603803,True
abs,underfit,113,0.08760026329875237,0.3562026239499474,0.25518164881229627,0.006376367779066016,0.1855246523388116,0.003579004701607728,True
abs,well_fit,224,0.06230971148845456,0.35327726022693673,0.15920563741191546,0.017094425259108776,0.10922485586162715,0.01497129664801413,True
abs,overfit,113,0.04286807913662252,0.6521087824740235,0.11896167409674631,0.20948554818929147,0.0824905183312263,0.19523510034948033,True
runge,underfit,113,0.06778652972880717,0.4756044817511519,0.12852651540355314,0.17487691280045284,0.09481668773704172,0.1365428237266741,True
runge,well_fit,224,0.039501492984832146,0.5564475967605969,0.1207238949391416,0.07133762687128445,0.07999679692504805,0.0747502387415388,True
runge,overfit,113,-0.01781538379400848,0.8514337886994352,-0.08414565173996941,0.37555933590392243,-0.04930467762326169,0.43882996548315034,True
