function,pearson_original,spearman_original,pearson_winsorized,spearman_winsorized,pearson_log,spearman_log,pearson_zscore,spearman_zscore,winsorized_consistent,log_consistent,zscore_consistent
linear,0.07111847992601153,0.1598587647346407,0.07283227162492974,0.15985228322661552,0.19029181179591798,0.22461878824092962,0.07111847992601153,0.1598587647346407,True,True,True
quadratic,0.07660897969670122,0.1472888919616064,0.08265794277917268,0.14748487839692534,0.18229322601519016,0.19945349524359793,0.07660897969670122,0.1472888919616064,True,True,True
cubic,0.06672321135816403,0.13658543169760512,0.06820821618329766,0.13680014235069157,0.14214702749813812,0.17048926990585964,0.06672321135816404,0.13658543169760512,True,True,True
sine,-0.008397404807569852,0.03782148718429886,-0.01489866664018354,0.0380650471551207,-0.11095056552903415,0.06250506586863804,-0.00839740480756985,0.03782148718429886,False,False,False
sine_high,-0.007480971792933652,-0.0010984745603681994,0.005003239585754416,-0.0008533854400755823,0.09807656748456416,0.04933983213085826,-0.007480971792933654,-0.0010984745603681994,False,True,True
exp,0.06699946237866367,0.14161446064754232,0.07203375501707698,0.1417962567551714,0.1793882622112978,0.20452242562514714,0.06699946237866367,0.14161446064754232,True,True,True
step,0.015874558325584848,0.12467939759373299,0.02722073799362871,0.1242636277277987,0.1413433908515802,0.09642957907611069,0.015874558325584848,0.12467939759373299,True,True,True
abs,0.09490459577642842,0.16804501092186466,0.054821011705588306,0.16852363811343335,0.1930022182918696,0.18133100245762535,0.09490459577642842,0.16804501092186466,True,True,True
runge,0.08733749256342677,0.17786089478631173,0.038734835920448865,0.17783165712824336,0.16575583376549533,0.20240317236134503,0.08733749256342678,0.17786089478631173,True,True,True
